epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
17,2020-04-24,38,TO,,17,state,50,3.17891,7,2,0,0.04,1572866,False,False
17,2020-04-23,38,AC,,12,state,227,25.73886,13,10,2,0.0441,881935,False,False
17,2020-04-23,47,AL,,27,state,324,9.70828,81,22,2,0.0679,3337357,False,False
17,2020-04-23,42,AM,,13,state,2888,69.68108,409,234,28,0.081,4144597,False,False
17,2020-04-23,35,AP,,16,state,555,65.6237,63,16,2,0.0288,845731,False,False
17,2020-04-23,49,BA,,29,state,1845,12.40498,200,62,9,0.0336,14873064,False,False
17,2020-04-23,39,CE,,23,state,4702,51.48883,586,271,32,0.0576,9132078,False,False
17,2020-04-23,48,DF,,53,state,968,32.10328,9,26,1,0.0269,3015268,False,False
17,2020-04-23,50,ES,,32,state,1453,36.15642,102,43,6,0.0296,4018650,False,False
17,2020-04-23,43,GO,,52,state,453,6.4545,15,23,2,0.0508,7018354,False,False
17,2020-04-23,35,MA,,21,state,1951,27.57527,194,88,12,0.0451,7075181,False,False
17,2020-04-23,47,MG,,31,state,1308,6.17891,25,51,4,0.039,21168791,False,False
17,2020-04-23,41,MS,,50,state,186,6.69309,11,7,1,0.0376,2778986,False,False
17,2020-04-23,35,MT,,51,state,220,6.31374,15,7,1,0.0318,3484466,False,False
17,2020-04-23,37,PA,,15,state,1267,14.72765,72,53,10,0.0418,8602865,False,False
17,2020-04-23,43,PB,,25,state,386,9.60647,41,44,4,0.114,4018127,False,False
17,2020-04-23,43,PE,,26,state,3604,37.7103,306,312,30,0.0866,9557071,False,False
17,2020-04-23,36,PI,,22,state,256,7.82103,39,16,1,0.0625,3273227,False,False
17,2020-04-23,43,PR,,41,state,1096,9.58548,19,62,2,0.0566,11433957,False,False
17,2020-04-23,50,RJ,,33,state,6172,35.74874,620,530,40,0.0859,17264943,False,False
17,2020-04-23,43,RN,,24,state,754,21.50076,46,38,4,0.0504,3506853,False,False
17,2020-04-23,35,RO,,11,state,250,14.06687,27,5,0,0.02,1777225,False,False
17,2020-04-23,34,RR,,14,state,304,50.18481,7,3,0,0.0099,605761,False,False
17,2020-04-23,45,RS,,43,state,1039,9.13227,69,29,1,0.0279,11377239,False,False
17,2020-04-23,43,SC,,42,state,1170,16.32986,55,42,3,0.0359,7164788,False,False
17,2020-04-23,41,SE,,28,state,135,5.87289,17,8,1,0.0593,2298696,False,False
